No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,開設者,管理者,歯科,矯正,小歯,口腔,備考,緯度,経度
549,山崎歯科医院,949-2316,上越市,中郷区江口443-2,0255-74-2468,令和5年12月8日,山崎　昭宏,山崎　昭宏,1,0,1,1,,36.949863,138.21521
550,デンタルオフィスK,942-0052,上越市,上源入634-4,025-530-7957,令和6年5月1日,医療法人社団三上歯科医院,三上　慶,1,0,0,1,,37.159805,138.259583
551,永井歯科医院,943-0841,上越市,南本町2-6-34,025-523-5040,令和6年5月1日,永井　謙,永井　謙,1,0,0,0,,37.098991,138.250443
552,おおてまち歯科医院,943-0838,上越市,大手町3-26,025-525-2584,令和7年10月1日,笹原　華子,笹原　華子,1,0,1,0,,37.108898,138.248825
553,永野歯科・矯正歯科医院,941-0068,糸魚川市,本町10-1,025-552-1259,平成5年9月1日,医療法人社団　愛永会,永野 正司,1,1,0,0,,37.045422,137.857819
554,あべ歯科クリニック,941-0065,糸魚川市,新鉄2-12-14,025-552-0214,令和元年7月1日,阿部 泰志,阿部 泰志,1,1,0,1,,37.039227,137.859131
555,早川歯科医院,941-0011,糸魚川市,滝川原700-1,025-555-3433,昭和62年10月1日,阿部 正,阿部 正,1,0,1,0,,37.033913,137.930298
556,新田歯科医院,941-0052,糸魚川市,南押上2-2-20 ,025-552-2131,昭和62年12月1日,新田 佐織,新田 佐織,1,0,0,0,,37.047001,137.878952
557,月岡歯科医院,941-0065,糸魚川市,新鉄1-3-3,025-553-0828,平成3年5月21日,月岡 克郎,月岡 克郎,1,0,0,0,,37.043922,137.856842
558,インター歯科,941-0067,糸魚川市,横町5-5-24 ,025-552-2341,平成13年10月1日,医療法人社団　正仁会,竹内 博文,1,1,1,1,,37.041,137.849487
559,倉石歯科医院,941-0053,糸魚川市,東寺町2-2-63,025-550-6155,平成13年10月19日,倉石 正哉,倉石 正哉,1,0,1,0,,37.045158,137.872665
560,高鳥歯科医院,949-1352,糸魚川市,能生7006,025-566-2040,平成5年6月1日,高鳥 健一,高鳥 健一,1,0,1,0,,37.103004,137.9879
561,山岸歯科医院,949-1352,糸魚川市,能生2318-1,025-566-4488,平成6年7月20日,山岸 正幸,山岸 正幸,1,0,0,0,,37.099163,137.98822
562,森歯科医院,949-0303,糸魚川市,田海5333番地,025-562-2154,昭和60年10月12日,森 道弘,森 道弘,1,0,1,0,,36.990662,137.81163
563,渡辺歯科医院,949-0301,糸魚川市,須沢3459,025-562-5525,平成2年5月8日,渡辺 正,渡辺 正,1,0,0,0,,37.032089,137.832748
564,藤浪歯科医院,949-0305,糸魚川市,青海4608-1,025-562-5881,平成4年11月18日,藤浪 孝憲,藤浪 孝憲,1,0,0,0,,37.024601,137.797104
565,すがはら歯科医院,949-0301,糸魚川市,須沢2636,025-562-1182,平成20年10月1日,菅原 陽明,菅原 陽明,1,1,1,1,,37.025814,137.837189
566,いしもと歯科,952-0014,佐渡市,両津湊178,0259-23-2533,令和4年6月1日,石本　裕子,石本　裕子,1,1,1,1,,38.081745,138.434814
567,ほんま歯科医院,952-0014,佐渡市,両津湊226-3,0259-23-2873,平成28年10月11日,本間　康平,本間　康平,1,0,1,0,,38.078632,138.437943
568,嶋田歯科医院,952-0011,佐渡市,両津夷197-1,0259-23-5400,平成10年11月1日,嶋田　正也,嶋田　正也,1,0,0,0,,38.083771,138.433502
569,山中歯科医院,952-1314,佐渡市,河原田本町259,0259-52-2232,平成26年6月1日,山中　彰久,山中　彰久,1,0,0,0,,37.999264,138.321243
570,山岡歯科医院,952-1305,佐渡市,上長木358-2,0259-52-2361,平成元年9月24日,山岡　秀樹,山岡　秀樹,1,0,1,0,,38.005833,138.333374
571,ミドリ歯科医院,952-1315,佐渡市,河原田諏訪町80-4 新潟交通佐和田ﾋﾞﾙ2F,0259-52-3134,平成2年1月26日,渡部　尚,渡部　尚,1,0,0,0,,38.004501,138.31366
572,本間歯科医院,952-1315,佐渡市,河原田諏訪町196,0259-51-0555,平成15年7月11日,本間　泰裕,本間　泰裕,1,1,1,1,,38.001911,138.317337
573,隅田歯科医院,952-1212,佐渡市,泉甲661-1,0259-63-3220,平成10年2月7日,隅田　光弘,隅田　光弘,1,0,1,0,,38.061474,138.330963
574,本田歯科医院,952-0318,佐渡市,真野新町444,0259-55-2159,昭和59年7月1日,本田　亘,本田　亘,1,0,0,0,,37.962299,138.344391
575,ふじい歯科,952-0604,佐渡市,小木町2120-2,0259-86-2717,平成12年4月3日,藤井　賢一郎,藤井　賢一郎,1,1,1,0,,37.819813,138.269623
576,田中歯科医院,952-0014,佐渡市,両津湊279,0259-27-2416,平成19年4月2日,田中　雅裕,田中　雅裕,1,0,1,1,,38.076527,138.440781
577,まもる歯科,952-1548,佐渡市,相川羽田町58番地,0259-74-2134,平成28年12月22日,渡部　守,渡部　守,1,0,1,0,,38.033031,138.24086
578,酒井歯科医院,952-0504,佐渡市,羽茂本郷406-1,0259-88-2929,平成25年4月1日,木下　昭博,木下　昭博,1,0,1,1,,37.858578,138.351639
579,小木歯科クリニック,952-0604,佐渡市,小木町1974番地,0259-86-2898,平成24年12月1日,医療法人おけさ会,時田　君彦,1,0,1,0,,37.819813,138.269623
580,佐和田歯科クリニック,952-1311,佐渡市,東大通1284番地,0259-57-2088,令和4年11月1日,医療法人おけさ会,近藤　拓,1,1,1,1,,38.003227,138.3293
581,はたの歯科医院,952-0206,佐渡市,佐渡市畑野申442-2,0259-66-3119,令和8年4月1日,猪本　正人,猪本　正人,1,0,0,0,,38.018604,138.368011
582,安達歯科医院,950-3326,新潟市北区,柳原4丁目1番12号,025-386-6400,昭和58年5月6日,安達　和夫,安達　和夫,1,1,1,0,,37.918274,139.210373
583,有田歯科医院,950-3112,新潟市北区,太夫浜1639番地1,025-259-8686,平成30年12月25日,有田　守,有田　守,1,0,0,0,,37.956127,139.153885
584,おだ歯科医院,950-3317,新潟市北区,かぶとやま2丁目1-62ﾍﾞｲｼｱ新潟豊栄店ﾃﾅﾝﾄ,025-282-5454,平成31年3月18日,小田　陽平,小田　陽平,1,0,1,1,,37.928936,139.218582
585,かとう歯科医院,950-3373,新潟市北区,須戸2丁目6番40号,025-384-6855,平成17年9月2日,加藤　幸生,加藤　幸生,1,0,1,1,,37.917717,139.18541
586,北村歯科医院,950-3124,新潟市北区,三軒屋町15番31号,025-259-2627,昭和49年2月14日,北村　信隆,北村　信隆,1,0,0,1,,37.949516,139.148605
587,くまくらデンタルオフィス,950-3327,新潟市北区,石動1丁目15番5号,025-384-7888,平成22年3月2日,熊倉　史子,熊倉　史子,1,0,1,0,,37.920982,139.214005
588,グリーン歯科医院,950-3327,新潟市北区,石動1丁目2番37号,025-387-0080,平成9年11月1日,小林　みどり,小林　みどり,1,1,1,0,,37.92392,139.215515
589,こうの歯科医院,950-3304,新潟市北区,木崎2761-36,025-282-7959,平成29年3月13日,河野　雅之,河野　雅之,1,0,1,1,,37.943344,139.189819
590,小林歯科医院,950-3375,新潟市北区,早通南1丁目5番10号,025-386-3103,平成23年5月1日,小林　新二郎,小林　新二郎,1,1,1,1,,37.920536,139.179199
591,近藤歯科医院,950-3125,新潟市北区,松浜本町1丁目12番14号,025-259-7040,昭和56年7月13日,医療法人社団近藤歯科医院,近藤　均,1,0,0,0,,37.950985,139.147659
592,しげたに歯科医院,950-3353,新潟市北区,長戸呂427番地2,025-388-3600,平成17年4月1日,重谷　寧子,重谷　寧子,1,0,1,0,,37.882156,139.179001
593,すずき歯科・矯正歯科クリニック,950-3126,新潟市北区,松浜6丁目13番地27,025-258-3748,令和6年5月1日,瀬下　博嗣,瀬下　博嗣,1,1,1,1,,37.955872,139.141373
594,すみれ野歯科医院,950-3133,新潟市北区,すみれ野1丁目13番13号,025-259-5085,平成8年1月10日,佐久間　陽子,佐久間　陽子,1,0,0,0,,37.919907,139.159805
595,曽我歯科医院,950-3313,新潟市北区,太田甲5629番地8,025-386-3260,昭和61年12月1日,医療法人社団曽我歯科医院,曽我　晋太郎,1,0,0,0,,37.944019,139.244003
596,月岡歯科医院,950-3321,新潟市北区,葛塚4745番地,025-282-7197,平成26年4月1日,月岡　祐輔,月岡　祐輔,1,0,1,1,,37.927147,139.217804
597,常木歯科医院,950-3325,新潟市北区,白新町2丁目7番13号,025-387-2050,平成4年4月1日,常木　哲哉,常木　哲哉,1,0,1,0,,37.915783,139.21582
598,冨田歯科医院,950-3325,新潟市北区,白新町2丁目4番21号,025-387-2216,平成5年7月1日,冨田　晃,冨田　晃,1,1,1,0,,37.917091,139.217331
599,豊栄インター歯科,950-3317,新潟市北区,かぶとやま2-3-3,025-387-3835,平成28年9月23日,原田　亮,原田　亮,1,1,1,1,,37.931011,139.217972
600,萩原歯科医院,950-3135,新潟市北区,つくし野2丁目1番1号,025-259-8101,平成20年4月1日,萩原　弥,萩原　弥,1,0,0,0,,37.92709,139.156448
601,林歯科医院,950-3322,新潟市北区,嘉山6丁目6番1号,025-388-2200,平成5年6月1日,林　克彰,林　克彰,1,1,1,0,,37.910583,139.219681
602,ひぐち歯科医院,950-3321,新潟市北区,葛塚94番地1,025-388-5336,平成6年5月31日,樋口　克輔,樋口　克輔,1,0,1,0,,37.913708,139.210526
603,ホリデンタルオフィス,950-3325,新潟市北区,白新町4丁目8番5号,025-288-6273,平成21年8月10日,堀　道則,堀　道則,1,0,0,0,,37.913368,139.212082
604,本間歯科医院,950-3315,新潟市北区,朝日町2丁目1番2号,025-386-1414,平成元年4月4日,医療法人社団本間歯科医院,本間　信策,1,0,0,0,,37.919945,139.223129
605,ほんま歯科医院,950-3376,新潟市北区,早通北4丁目6番31号,025-386-1115,昭和61年4月1日,本間　彰一,本間　彰一,1,0,1,1,,37.92202,139.184174
606,松田歯科クリニック,950-3102,新潟市北区,島見町3700番地5,025-383-8607,平成30年3月10日,医療法人社団　寛正会,松田　浩一郎,1,1,1,1,,37.964703,139.201584
607,もろ歯科クリニック,950-3327,新潟市北区,石動1丁目23番4号,025-388-1101,平成11年6月1日,毛呂　友昭,毛呂　友昭,1,1,1,0,,37.921177,139.211594
608,やまだデンタルクリニック,950-3323,新潟市北区,東栄町1丁目12番9号,025-388-1111,平成7年5月1日,山田　久弥,山田　久弥,1,1,1,1,,37.911369,139.222397
609,あおば歯科,950-0864,新潟市東区,紫竹6丁目18番43号,025-270-8118,平成16年4月1日,熊谷　和美,熊谷　和美,1,1,1,0,,37.909348,139.083649
610,あさひとう矯正＆こども歯科クリニック,950-0112,新潟市東区,藤見町2丁目4番14号,025-279-4187,令和5年5月1日,医療法人社団スーパースマイル新潟,朝日藤　寿一,1,1,1,0,,37.934414,139.096863
611,浅見歯科医院,950-0011,新潟市東区,向陽2丁目10番2号,025-271-0250,平成14年4月1日,駒形　功,駒形　功,1,0,1,0,,37.941319,139.114029
612,あゆかわ歯科医院,950-0871,新潟市東区,山木戸4丁目7番7号,025-250-8110,平成15年1月10日,鮎川　幸雄,鮎川　幸雄,1,0,1,0,,37.922092,139.084351
613,杏歯科クリニック,950-0823,新潟市東区,東中島3丁目9番54号,025-383-6485,平成24年8月17日,川嵜　直子,川嵜　直子,1,0,1,1,,37.910686,139.117493
614,飯島歯科医院,950-0872,新潟市東区,牡丹山6丁目10番7号,025-270-7171,平成7年4月3日,飯島　定雄,飯島　定雄,1,0,0,0,,37.918171,139.096191
615,いしやま歯科医院,950-0893,新潟市東区,はなみずき2丁目6番20号,025-272-7018,平成10年10月28日,石山　泰士,石山　泰士,1,0,1,0,,37.916798,139.103088
616,伊東歯科医院,950-0861,新潟市東区,中山8丁目27番11号,025-271-4970,昭和54年4月2日,伊東　宗明,伊東　宗明,1,0,0,0,,37.91666,139.093323
617,いろかわ歯科医院,950-0054,新潟市東区,秋葉1丁目6番34号,025-288-5266,平成22年10月1日,色川　裕士,色川　裕士,1,0,1,0,,37.940361,139.08429
618,宇賀村歯科医院,950-0872,新潟市東区,牡丹山3丁目1番14号,025-271-0123,昭和62年10月15日,宇賀村　勇亮,宇賀村　勇亮,1,0,0,0,,37.924156,139.093719
619,えびがせファミリー歯科,950-0806,新潟市東区,海老ｹ瀬3008番地,025-385-6074,平成26年5月1日,西村　雄介,西村　雄介,1,1,1,1,,37.929703,139.12735
620,おおとりい歯科クリニック,950-0837,新潟市東区,若葉町1丁目20番41号,025-256-8241,令和6年6月1日,医療法人社団　おおとりい歯科クリニック,大鳥居　淳,1,0,1,1,,37.89669,139.112595
621,オオヒラ歯科クリニック,950-0005,新潟市東区,太平1丁目3番10号,025-272-6488,平成14年12月10日,大平　育夫,大平　育夫,1,0,0,0,,37.947308,139.117233
622,岡田歯科医院,950-0055,新潟市東区,北葉町13番4号,025-273-0240,昭和42年4月1日,岡田　朋子,岡田　朋子,1,0,1,0,,37.939098,139.075378
623,岡田歯科医院,950-0832,新潟市東区,下場本町14番4号,025-277-0236,昭和61年5月7日,医療法人社団岡田歯科医院,岡田　泰幸,1,0,0,0,,37.905827,139.107407
624,小黒歯科医院,950-0864,新潟市東区,紫竹5丁目19番15号ﾎﾞ･ﾇ-ﾙ･ﾄﾜⅤ1F,025-241-6480,平成2年11月9日,小黒　友彦,小黒　友彦,1,1,1,0,,37.905308,139.079025
625,小野歯科医院,950-0836,新潟市東区,東中野山3丁目10番15号,025-277-5035,平成2年4月6日,小野　滋,小野　滋,1,1,1,1,,37.901566,139.113113
626,おひさま歯科診療所,950-0012,新潟市東区,有楽3丁目5-5,025-270-4180,平成22年10月1日,白倉　正基,白倉　正基,1,0,0,0,,37.94043,139.113113
627,かねこ歯科クリニック,950-0044,新潟市東区,古湊町3番50号,025-272-9144,平成16年3月6日,金子　恭士,金子　恭士,1,1,1,1,,37.937714,139.07193
628,かのまた歯科,950-0861,新潟市東区,中山8丁目1番10号,025-288-5569,平成28年4月18日,鹿又　真一,鹿又　真一,1,1,1,1,,37.914181,139.086929
629,かめかめ歯科医院,950-0851,新潟市東区,新石山4丁目5番5号,025-278-5020,平成25年12月24日,佐藤　斉,佐藤　斉,1,0,0,0,,37.900753,139.09549
630,くぼた歯科クリニック,950-0021,新潟市東区,物見山2丁目13番19号,025-271-6868,平成30年6月19日,久保田　千華子,久保田　千華子,1,0,1,1,,37.945431,139.093582
631,くまくら歯科・歯科口腔外科,950-0814,新潟市東区,逢谷内2丁目4-6,025-311-5107,平成28年9月16日,熊倉　亮,熊倉　亮,1,1,1,1,,37.919441,139.117126
632,桑原歯科医院,950-0885,新潟市東区,下木戸2丁目14番10号,025-270-5200,平成6年5月2日,桑原　秀也,桑原　秀也,1,1,0,0,,37.926525,139.094894
633,こうど歯科クリニック,950-0016,新潟市東区,河渡本町22-56,025-272-4618,平成21年8月1日,野沢　健太郎,野沢　健太郎,1,1,1,1,,37.933979,139.107559
634,小竹歯科医院,950-0005,新潟市東区,太平3丁目5番10号,025-273-8270,平成5年7月21日,小竹　弘之,小竹　弘之,1,0,1,0,,37.945667,139.110718
635,ことぶき歯科,950-0893,新潟市東区,はなみずき1丁目16番10号,025-271-8013,平成15年11月14日,田中　勝,田中　勝,1,0,1,0,,37.914917,139.101242
636,小林歯科医院,950-0052,新潟市東区,秋葉通2丁目3722番105号,025-274-4184,昭和62年4月24日,小林　潤,小林　潤,1,1,1,1,,37.943066,139.079437
637,さいかわ歯科医院,950-0017,新潟市東区,新松崎2丁目5番7号,025-279-5234,平成11年5月12日,才川　典,才川　典,1,0,1,0,,37.932846,139.117493
638,佐々木歯科医院,950-0864,新潟市東区,紫竹7丁目12番10号,025-275-5103,令和5年6月1日,医療法人社団　佐々木歯科医院,佐々木　裕道,1,1,1,0,,37.910629,139.088959
639,佐藤歯科医院,950-0853,新潟市東区,東明1丁目8番9号,025-286-1175,平成17年3月1日,佐藤　昌尚,佐藤　昌尚,1,1,1,0,,37.899017,139.082947
640,佐藤歯科医院,950-0843,新潟市東区,粟山4丁目1番21号,025-276-5455,令和4年11月1日,佐藤　研人,佐藤　研人,1,0,1,0,,37.898289,139.101166
641,白田歯科医院,950-0053,新潟市東区,宝町1番38号,025-271-1100,昭和57年7月26日,白田　敏晴,白田　敏晴,1,1,1,1,,37.942245,139.08699
642,医療法人社団　豊医会　スマイル歯科おざき,950-0861,新潟市東区,中山6丁目3番35号e-ﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ 3F,025-278-9311,平成25年4月1日,医療法人社団　豊医会,尾崎　豊実,1,0,1,1,,37.912334,139.081238
643,平歯科医院,950-0803,新潟市東区,中興野5番51号,025-275-5353,昭和58年10月8日,平　秀幸,平　秀幸,1,0,0,0,,37.921112,139.137451
644,たけと歯科クリニック,950-0892,新潟市東区,寺山2丁目2番10号,025-270-6211,平成6年10月3日,吉田　剛人,吉田　剛人,1,0,1,0,,37.923923,139.109085
645,竹本歯科医院,950-0814,新潟市東区,逢谷内4丁目8番13号,025-271-1177,平成5年3月2日,医療法人社団竹本歯科医院,竹本　毅,1,1,1,0,,37.921627,139.11824
646,田代歯科クリニック,950-0027,新潟市東区,松和町8番21号,025-274-4182,平成4年9月2日,田代　正孝,田代　正孝,1,0,1,1,,37.941414,139.096893
647,富樫歯科医院,950-0872,新潟市東区,牡丹山2丁目6番1号,025-272-0101,平成元年7月1日,冨樫　正利,冨樫　正利,1,1,1,0,,37.920872,139.089996
648,とさか歯科医院,950-0813,新潟市東区,大形本町4丁目8番16号,025-271-7500,昭和55年5月8日,医療法人社団とさか歯科医院,登坂　邦彦,1,1,1,1,,37.923187,139.120758
649,とみい歯科医院,950-0036,新潟市東区,空港西2丁目20番地18号,025-379-7737,平成19年4月1日,医療法人社団富信会とみい歯科医院,富井　信之,1,0,1,1,,37.948483,139.099396
650,ないとう歯科医院,950-0021,新潟市東区,物見山2丁目35番19号,025-270-2218,平成18年1月11日,内藤　義隆,内藤　義隆,1,0,1,1,,37.945385,139.096161
651,中川歯科医院,950-0861,新潟市東区,中山7丁目23番9号,025-274-6474,昭和51年10月20日,中川　賢治,中川　賢治,1,0,0,0,,37.912159,139.084244
652,なかきど歯科,950-0886,新潟市東区,中木戸216番地4,025-271-0222,平成17年11月11日,小川　有,小川　有,1,0,1,1,,37.927013,139.099258
653,仲又歯科,950-0823,新潟市東区,東中島2丁目2番3号ｱｽﾃｨｵﾝ東中島1F,025-257-2123,平成9年11月25日,仲又　俊夫,仲又　俊夫,1,0,1,0,,37.907894,139.108582
654,にわ歯科医院,950-0861,新潟市東区,中山2丁目10番15号,025-271-2400,平成20年1月1日,丹羽　博己,丹羽　博己,1,0,0,0,,37.915642,139.081299
655,服部歯科医院,950-0836,新潟市東区,東中野山1丁目2番13号,025-276-7330,平成元年4月14日,服部　康雄,服部　康雄,1,0,0,0,,37.90237,139.108246
656,花みずき歯科医院,950-0892,新潟市東区,寺山3丁目30番24号,025-271-6665,平成13年8月1日,山田　亜佐子,山田　亜佐子,1,0,1,1,,37.918533,139.111542
657,はやつ歯科クリニック,950-0842,新潟市東区,もえぎ野2丁目5番19号,025-278-5288,平成14年12月18日,早津　誠,早津　誠,1,0,1,1,,37.892937,139.101364
658,ひらのデンタルクリニック,950-0066,新潟市東区,長者町15番23号,025-270-8080,平成28年9月16日,医療法人社団　ひらの内科医院,平野　慎一朗,1,0,1,0,,37.935909,139.07605
659,平原歯科新潟東区役所内診療所,950-0885,新潟市東区,下木戸1-4-1新潟市東区役所内,025-279-2345,平成24年1月5日,平原　泰樹,平原　泰樹,1,0,1,1,,37.9249,139.09259
660,ふじみ歯科,950-0024,新潟市東区,河渡1丁目4番15号,025-271-7575,平成31年1月28日,山垣　和子,山垣　和子,1,0,0,1,,37.934353,139.097717
661,ふなえ歯科医院,950-0031,新潟市東区,船江町2丁目10番1号,025-270-1888,平成3年12月6日,医療法人社団ふなえ歯科医院,桑原　密雄,1,1,1,1,,37.95171,139.100296
662,ぼたんやまデンタルクリニック,950-0891,新潟市東区,上木戸4丁目1-9,025-290-7770,平成23年6月10日,荒井　渉,荒井　渉,1,0,1,0,,37.921398,139.10025
663,ＷｈｉｔｅＢｅｒｒｙこうなん歯科,950-0855,新潟市東区,江南6丁目1番31号,025-286-0118,平成22年10月1日,医療法人明和会　,川北　雄高,1,1,1,1,,37.90321,139.083588
664,ほんま歯科・小児歯科クリニック,950-0052,新潟市東区,秋葉通2丁目106番地38,025-250-6480,平成30年5月15日,本間　裕章,本間　裕章,1,1,1,0,,37.940941,139.080612
665,マリデンタルクリニック,950-0853,新潟市東区,東明5丁目1-1,025-286-5767,平成25年6月1日,宮井　眞理,宮井　眞理,1,1,1,0,,37.899635,139.087326
666,まるデンタルクリニック,950-0893,新潟市東区,はなみずき2丁目14番20号,025-271-1000,平成28年5月12日,丸山　敬正,丸山　敬正,1,0,1,1,,37.915836,139.10466
667,水野歯科医院,950-0024,新潟市東区,河渡2丁目3番25号,025-274-1805,平成28年2月15日,水野　健太郎,水野　健太郎,1,0,1,0,,37.936928,139.101089
668,みやの歯科医院,950-0855,新潟市東区,江南2丁目7番17号,025-287-4180,平成2年4月16日,宮野　正美,宮野　正美,1,0,1,0,,37.901714,139.079956
669,みるく歯科クリニック,950-0012,新潟市東区,有楽1丁目7番1号,025-272-2100,平成14年7月1日,鈴木　利枝,鈴木　利枝,1,0,1,0,,37.939259,139.104187
670,もえぎの歯科,950-0842,新潟市東区,もえぎ野3丁目12番10号,025-276-7776,平成24年3月2日,川島　直志,川島　直志,1,0,1,0,,37.895794,139.105148
671,山口歯科医院,950-0812,新潟市東区,豊1丁目1番23号,025-275-3988,平成元年6月5日,山口　明良,山口　明良,1,0,1,0,,37.925011,139.102921
672,やまざき小児歯科,950-0843,新潟市東区,粟山2丁目1番20号,025-276-1181,昭和63年6月1日,山崎　博史,山崎　博史,1,1,1,0,,37.897377,139.099701
673,りょう歯科クリニック,950-0836,新潟市東区,東中野山4丁目15番3号,025-276-2416,平成18年7月1日,渡邊　亮,渡邊　亮,0,0,1,1,,37.904533,139.112289
674,ＲＳ歯科クリニック,951-8026,新潟市中央区,西湊町通3ﾉ町3306番地3,025-210-1004,平成26年6月13日,塚野　英樹,塚野　英樹,1,0,0,0,,37.92963,139.053833
675,間歯科医院,950-0963,新潟市中央区,南出来島1丁目15番10号,025-281-1182,平成13年9月3日,間　昭憲,間　昭憲,1,1,1,0,,37.895111,139.026291
676,あきの歯科クリニック,951-8137,新潟市中央区,白山浦新町通79番地1,025-265-1660,平成6年4月8日,秋野　文宏,秋野　文宏,1,0,1,0,,37.913731,139.026337
677,アクア歯科クリニック,951-8153,新潟市中央区,文京町1番23号,025-234-4182,平成15年12月1日,長谷川　雅之,長谷川　雅之,1,0,1,1,,37.905491,139.011932
678,浅妻歯科医院,950-0088,新潟市中央区,万代1丁目2番3号ｺｰﾌﾟ野村万代201,025-241-0557,令和6年4月1日,浅妻　康幸,浅妻　真澄,1,0,0,0,,37.915684,139.057495
679,あじま歯科クリニック,950-0945,新潟市中央区,女池上山4丁目2番4号,025-278-8201,平成27年3月19日,安島　久雄,安島　久雄,1,0,1,1,,37.894108,139.026245
680,あべ歯科クリニック,950-0994,新潟市中央区,上所3丁目10番65号ﾏﾙｼｪｺｰﾄA,025-281-6480,平成31年4月17日,阿部　大輔,阿部　大輔,1,1,1,1,,37.905411,139.040253
681,荒井歯科,950-0973,新潟市中央区,上近江4丁目2番20号,025-285-8839,平成3年7月29日,荒井　節男,荒井　節男,1,0,0,0,,37.899578,139.030624
682,アルモニ矯正歯科,950-0973,新潟市中央区,上近江4丁目12番20号DeKKY401 1F,025-211-2200,平成19年6月11日,小林　仁,小林　仁,0,1,0,0,,37.897877,139.030624
683,井伊歯科医院,950-0913,新潟市中央区,鐙2丁目14番23号1,025-241-2405,平成19年8月17日,井伊　寛和,井伊　寛和,1,0,1,0,,37.904068,139.070724
684,いかみ歯科クリニック,951-8127,新潟市中央区,関屋下川原町1丁目671番地,025-231-2572,平成8年6月1日,井神　浩一,井神　浩一,1,0,0,0,,37.91679,139.025513
685,五十嵐歯科医院,950-0953,新潟市中央区,大島130番地50,025-284-8997,平成7年8月1日,五十嵐　渉,五十嵐　渉,1,0,1,0,,37.879871,139.024918
686,いがらし歯科クリニック,951-8006,新潟市中央区,附船町1丁目4348-1,025-201-9939,平成21年6月5日,五十嵐　雅子,五十嵐　雅子,1,0,1,0,,37.934753,139.054001
687,いくの歯科医院,950-0915,新潟市中央区,鐙西2丁目18番14号,025-245-0414,昭和62年11月20日,幾野　博,幾野　博,1,0,0,0,,37.901943,139.062164
688,石田歯科医院,951-8065,新潟市中央区,東堀通6番町1050番地,025-222-9732,昭和60年1月1日,石田　重晴,石田　重晴,1,0,0,0,,37.920586,139.045242
689,石橋歯科クリニック,950-0992,新潟市中央区,上所上1丁目5番13号,025-284-1484,平成元年4月8日,石橋　義明,石橋　義明,1,1,1,1,,37.905891,139.03331
690,イシモト歯科医院,950-0087,新潟市中央区,東大通1丁目7番8号ｱｲ･ｴﾑ第一ﾋﾞﾙ1F,025-244-4567,平成19年12月3日,石本　良行,石本　良行,1,1,0,0,,37.915234,139.061447
691,医療法人社団こばやし歯科医院,950-0945,新潟市中央区,女池上山4丁目18番9号,025-283-1515,昭和56年4月2日,医療法人社団こばやし歯科医院,小林　茂麿,1,0,1,0,,37.893528,139.024979
692,歯科ニイガタクリニック,950-0116,新潟市中央区,関屋昭和町2丁目112番,025-266-4956,令和5年8月1日,医療法人社団ニイガタクリニック,成澤　祥子,1,1,1,1,,37.910313,139.017761
693,ふかまち歯科矯正,950-0901,新潟市中央区,弁天1丁目4番22号ｸﾞﾘﾝﾋﾞﾙ3F,025-243-3330,平成25年8月1日,深町　博臣,深町　博臣,0,1,0,0,,37.914272,139.058777
694,スマイル歯科万代,950-0088,新潟市中央区,万代3丁目1番1号ﾒﾃﾞｨｱｼｯﾌﾟ3F,025-384-0800,平成25年5月1日,医療法人社団　豊医会　,尾崎　康子,1,0,1,0,,37.918228,139.056274
695,イワシタ歯科,951-8063,新潟市中央区,古町通5番町601番地,025-228-2280,平成元年3月6日,岩下　博美,岩下　博美,1,0,0,0,,37.92004,139.044418
696,植木歯科医院,951-8081,新潟市中央区,寄附町5016番地1,025-222-9531,平成21年7月17日,植木　誠,植木　誠,1,0,0,0,,37.932499,139.048767
697,宇佐美歯科医院,951-8068,新潟市中央区,上大川前通8番町1249番地,025-222-4936,平成27年6月28日,宇佐美　祐一,宇佐美　祐一,1,0,0,0,,37.923233,139.048782
698,エクセレント歯科クリニック　新潟医院,950-0914,新潟市中央区,紫竹山1丁目2-5TMﾋﾞﾙ2F･B,025-250-7662,平成22年6月14日,佐藤　大志,佐藤　大志,1,0,0,1,,37.901333,139.065979
699,江口歯科医院,951-8062,新潟市中央区,西堀前通2番町709番地白柳ﾋﾞﾙ2F,025-225-1313,昭和54年12月12日,江口　健,江口　健,1,0,0,0,,37.916824,139.040146
700,エスホワイトクリニック,951-8063,新潟市中央区,古町通7番町951-2大橋ﾋﾞﾙ2階,025-226-4111,令和元年7月22日,小林　富貴子,小林　富貴子,1,0,0,0,,37.922382,139.045135
701,キーデンタルクリニック新潟訪問専門医院,950-0113,新潟市西蒲区,巻甲2908-3,0256-77-8002,令和5年5月1日,医療法人愛広会,小林　美登,1,0,0,0,,37.756794,138.885651
702,オアシスデンタルクリニック,950-0082,新潟市中央区,東万代町1-5ﾄﾞｩｰｸｽﾋﾞﾙ2-A,025-250-1539,平成20年10月10日,医療法人社団　美山会,赤柴　聡,1,1,1,1,,37.916214,139.062088
703,大井歯科医院,950-0943,新潟市中央区,女池神明1丁目6番地16,025-284-2721,平成30年12月6日,大井　悌司,大井　悌司,1,0,0,0,,37.889828,139.036896
704,太田歯科医院,951-8167,新潟市中央区,関屋金衛町2丁目276番1号 ｸﾞﾘｰﾝﾊｲﾂ103,025-266-4065,昭和55年7月1日,太田　啓子,太田　啓子,1,0,1,0,,37.912556,139.015259
